HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns,PredictHomeTeamWin
CHI,GB,3,10,1,0,1,23.5,26.3125,20.75,20.6875,30.03,32.22,36.8,41.0,0
CAR,LAR,27,30,1,0,1,32.9375,23.5,25.0625,22.25,31.42,31.44,45.0,41.6,0
CLE,TEN,13,43,1,0,1,19.375,22.4375,18.0625,19.625,30.47,29.29,40.0,35.1,0
JAX,KC,26,40,1,0,1,35.3125,15.3125,24.0,17.3125,29.11,30.14,47.2,40.4,0
MIA,BAL,10,59,1,0,1,24.3125,19.9375,22.9375,15.75,33.54,28.06,45.0,30.1,0
MIN,ATL,28,12,1,1,0,25.875,22.5,22.0,19.375,30.36,30.34,45.3,35.8,1
NYJ,BUF,16,17,1,0,1,16.8125,20.8125,17.6875,16.125,30.29,29.1,31.6,32.2,0
PHI,WAS,32,27,1,1,0,17.5625,22.9375,17.5,21.625,30.38,33.39,36.4,41.0,1
LAC,IND,30,24,1,1,0,27.0625,26.75,23.1875,21.125,30.05,31.43,48.6,39.5,1
SEA,CIN,21,20,1,1,0,23.0,26.75,19.0,20.5625,27.27,31.28,36.9,38.9,1
ARI,DET,27,27,1,0,0,20.25,14.0625,20.3125,14.9375,31.24,27.33,36.1,29.1,0
DAL,NYG,35,17,1,1,0,23.0625,21.1875,18.5625,20.125,29.57,32.32,36.9,41.7,1
TB,SF,17,31,1,0,1,21.375,24.75,21.5,24.25,30.55,30.3,37.8,46.0,0
NE,PIT,33,3,1,1,0,26.75,27.25,23.625,22.8125,31.0,31.05,44.4,40.8,0
NO,HOU,30,28,1,1,0,25.125,31.5,20.8125,23.5625,31.46,32.53,37.0,44.6,1
LV,DEN,24,16,1,1,0,20.5625,18.125,20.0,18.75,29.58,31.59,33.3,37.1,1
CAR,TB,14,20,2,0,1,17.0,27.0,21.0,21.0,29.56,26.44,45.5,45.5,1
BAL,ARI,23,17,2,1,0,27.0,59.0,21.0,31.0,30.37,40.7,40.9,63.6,1
CIN,SF,17,41,2,0,1,31.0,20.0,17.0,22.0,30.4,35.5,38.5,40.0,0
DET,LAC,13,10,2,1,0,30.0,27.0,25.0,23.0,32.5,39.23,63.6,33.3,1
GB,MIN,21,16,2,1,0,28.0,10.0,18.0,13.0,29.47,31.3,50.0,16.7,0
HOU,JAX,13,12,2,1,0,26.0,28.0,18.0,22.0,28.45,29.47,50.0,53.8,1
MIA,NE,0,43,2,0,1,33.0,10.0,24.0,12.0,32.33,19.53,50.0,30.0,0
NYG,BUF,14,28,2,0,1,17.0,17.0,23.0,25.0,27.59,27.42,50.0,18.2,0
PIT,SEA,26,28,2,0,1,21.0,3.0,12.0,15.0,24.1,27.27,33.3,25.0,0
TEN,IND,17,19,2,0,1,24.0,43.0,22.0,21.0,32.9,29.18,53.8,20.0,0
WAS,DAL,21,31,2,0,1,35.0,27.0,23.0,15.0,32.18,25.33,60.0,38.5,0
LV,KC,10,28,2,0,1,40.0,24.0,24.0,19.0,31.15,32.45,50.0,71.4,0
DEN,CHI,14,16,2,0,1,3.0,16.0,16.0,18.0,28.57,27.15,20.0,46.2,1
LAR,NO,27,9,2,1,0,30.0,30.0,25.0,22.0,30.13,33.16,63.6,52.9,1
ATL,PHI,24,20,2,1,0,32.0,12.0,22.0,27.0,34.27,30.13,64.7,25.0,1
NYJ,CLE,3,23,2,0,1,13.0,16.0,19.0,17.0,30.42,32.1,10.0,41.2,0
JAX,TEN,20,7,3,1,0,30.0,19.0,19.5,17.0,28.89,29.275,15.0,36.55,1
BUF,CIN,21,17,3,1,0,18.5,22.5,18.0,23.5,31.455,29.985,45.0,44.25,1
DAL,MIA,31,6,3,1,0,5.0,33.0,11.5,24.0,21.415,32.7,21.65,61.8,1
GB,DEN,27,16,3,1,0,15.0,15.5,22.5,16.5,29.87,32.95,33.8,25.0,1
IND,ATL,27,24,3,1,0,18.0,21.5,23.0,21.5,28.865,32.22,27.5,51.9,1
KC,BAL,33,28,3,1,0,41.0,34.0,28.5,24.0,39.04,31.75,56.8,53.55,1
MIN,LV,34,14,3,1,0,17.0,22.0,19.0,16.5,29.85,27.505,57.15,40.4,1
NE,NYJ,30,14,3,1,0,9.5,38.0,15.0,25.5,31.145,34.315,27.75,52.25,1
PHI,DET,24,27,3,0,1,20.0,26.0,21.0,20.0,33.82,33.405,36.65,57.35,1
ARI,CAR,20,38,3,0,1,20.5,22.0,20.5,18.0,26.57,26.295,33.45,29.55,0
TB,NYG,31,32,3,0,1,15.5,18.5,23.0,18.5,27.32,31.545,21.6,31.1,0
LAC,HOU,20,27,3,0,1,20.5,20.0,19.5,23.0,29.53,31.845,46.9,54.9,0
SEA,NO,27,33,3,0,1,19.5,24.5,20.0,18.5,29.76,29.78,47.2,35.9,0
SF,PIT,24,20,3,1,0,14.5,36.0,16.0,22.0,25.705,31.295,26.15,47.05,1
CLE,LAR,13,20,3,0,1,28.5,18.0,21.0,17.5,31.685,29.915,45.7,20.4,0
WAS,CHI,15,31,3,0,1,9.5,24.0,17.0,17.0,27.835,25.855,23.65,30.35,0
GB,PHI,27,34,4,0,1,25.33333333,19.33333333,20.66666667,16.33333333,32.99666667,30.05333333,56.16666667,24.06666667,0
ATL,TEN,10,24,4,0,1,22.33333333,20.0,20.0,23.66666667,30.98,28.7,25.7,45.0,0
BAL,CLE,25,40,4,0,1,16.33333333,36.66666667,17.66666667,28.66666667,30.4,36.84,26.1,50.7,0
BUF,NE,10,16,4,0,1,35.33333333,22.0,24.0,24.0,34.59,32.17,48.16666667,42.33333333,0
DET,KC,30,34,4,0,1,33.66666667,22.33333333,25.0,19.33333333,30.22,31.68666667,54.23333333,38.73333333,0
HOU,CAR,10,16,4,0,1,26.33333333,22.66666667,20.66666667,19.66666667,27.1,29.06,35.63333333,51.26666667,0
IND,LV,24,31,4,0,1,16.0,23.33333333,18.33333333,24.0,29.32666667,31.89,47.2,55.43333333,0
MIA,LAC,10,30,4,0,1,20.0,5.333333333,22.66666667,13.33333333,31.72333333,24.07666667,47.7,21.1,0
NYG,WAS,24,3,4,1,0,21.0,21.0,19.66666667,21.0,26.65,27.04,31.33333333,29.8,1
ARI,SEA,10,27,4,0,1,25.33333333,21.33333333,21.0,19.0,30.29666667,28.01,35.83333333,37.33333333,0
LAR,TB,40,55,4,0,1,22.66666667,25.66666667,20.33333333,20.66666667,32.07,30.53333333,30.26666667,44.76666667,0
CHI,MIN,16,6,4,1,0,26.0,16.66666667,18.66666667,18.33333333,28.77666667,29.01,45.46666667,36.26666667,1
DEN,JAX,24,26,4,0,1,19.33333333,15.33333333,15.33333333,21.66666667,27.66333333,31.69333333,30.43333333,40.3,1
NO,DAL,12,10,4,1,0,32.33333333,24.0,25.33333333,18.33333333,31.98666667,29.26333333,57.86666667,40.56666667,1
PIT,CIN,27,3,4,1,0,18.0,16.33333333,17.66666667,14.33333333,28.83666667,24.94666667,39.1,25.76666667,1
SEA,LAR,30,29,5,1,0,29.25,25.75,24.5,21.0,29.71,31.0325,42.675,36.875,1
CAR,JAX,34,27,5,1,0,21.0,23.75,17.75,20.25,30.5275,27.92,29.975,39.225,1
CIN,ARI,23,26,5,0,1,18.5,14.25,19.25,17.25,27.5975,29.1625,36.325,36.475,0
HOU,ATL,53,32,5,1,0,17.5,19.5,23.75,19.25,29.1275,29.1,42.675,47.55,1
LV,CHI,24,21,5,1,0,16.5,19.75,18.0,19.0,30.575,30.3475,35.0,45.825,1
NO,TB,31,24,5,1,0,30.75,21.0,22.0,18.25,32.1425,31.0475,38.075,41.15,1
NYG,MIN,10,28,5,0,1,21.0,21.75,17.75,21.75,27.665,29.505,43.725,37.725,0
PHI,NYJ,31,6,5,1,0,8.25,27.5,9.0,21.5,21.6875,31.595,13.875,56.025,1
PIT,BAL,23,26,5,0,1,33.75,19.0,27.5,15.75,34.9875,26.075,48.025,27.65,0
TEN,BUF,7,14,5,0,1,19.0,22.75,23.75,20.5,32.2275,30.5325,35.6,30.825,1
WAS,NE,7,33,5,0,1,30.5,16.5,20.75,16.75,32.7425,25.865,43.075,28.05,0
LAC,DEN,13,20,5,0,1,17.5,22.5,21.0,23.0,28.89,33.1325,39.325,51.15,0
DAL,GB,24,34,5,0,1,21.25,26.75,20.0,22.75,30.5925,29.88,31.675,52.5,1
KC,IND,13,19,5,0,1,23.5,33.75,23.5,26.0,30.465,29.29,50.95,51.775,0
SF,CLE,31,3,5,1,0,22.25,24.0,18.75,17.5,30.3425,24.69,31.125,37.15,1
NE,NYG,35,14,6,1,0,19.4,31.0,21.0,21.2,29.044,32.5,40.18,41.12,1
TB,CAR,26,37,6,0,1,25.8,29.4,20.6,21.4,27.808000000000003,30.98,38.04,35.92,0
BAL,CIN,23,17,6,1,0,16.0,32.2,18.0,26.4,29.044,35.79,37.52,46.42,1
CLE,SEA,28,32,6,0,1,26.6,18.4,21.8,16.8,31.862,28.708000000000002,35.5,26.72,0
JAX,NO,6,13,6,0,1,23.0,22.2,19.6,19.8,31.491999999999997,30.87,43.58,33.22,0
KC,HOU,24,31,6,0,1,26.2,29.6,21.6,24.4,29.48,27.921999999999997,53.42,48.08,0
MIA,WAS,16,17,6,0,1,14.6,5.2,15.6,10.6,26.432,18.894000000000002,24.26,22.66,0
MIN,PHI,38,20,6,1,0,28.2,22.4,20.6,18.6,31.38,28.612,52.52,44.08,1
ARI,ATL,34,33,6,1,0,20.4,20.0,23.4,20.6,29.101999999999997,28.338,45.38,38.3,1
LAR,SF,7,20,6,0,1,31.75,29.2,23.0,24.4,34.0475,28.651999999999997,46.525,39.6,0
DEN,TEN,16,0,6,1,0,19.6,18.0,19.2,19.8,30.122,28.984,30.38,36.92,1
NYJ,DAL,24,22,6,1,0,26.2,9.75,24.6,11.25,28.538,29.1375,47.0,19.225,1
LAC,PIT,17,24,6,0,1,19.8,20.6,16.2,22.2,25.928,32.554,28.78,47.08,1
