HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns,PredictHomeTeamWin
KC,HOU,34.0,20.0,1,1.0,0.0,23.625,28.1875,21.625,21.875,30.02,29.27,43.5,47.6,1.0
ATL,SEA,25.0,38.0,1,0.0,1.0,25.3125,23.8125,21.3125,23.9375,31.26,31.56,39.5,42.0,0.0
BAL,CLE,38.0,6.0,1,1.0,0.0,20.9375,33.1875,19.0625,24.125,30.42,35.47,36.2,47.1,1.0
BUF,NYJ,27.0,17.0,1,1.0,0.0,17.25,19.625,15.8125,19.625,29.53,30.59,30.7,35.8,1.0
CAR,LV,30.0,34.0,1,0.0,1.0,19.5625,21.25,19.6875,20.9375,31.01,29.55,43.8,31.9,0.0
DET,CHI,23.0,27.0,1,0.0,1.0,17.5,21.3125,18.5625,19.5625,30.16,29.09,35.6,40.9,0.0
JAX,IND,27.0,20.0,1,1.0,0.0,22.5625,18.75,21.25,18.625,30.11,30.29,41.5,34.5,1.0
MIN,GB,34.0,43.0,1,0.0,1.0,23.5,25.4375,20.0,19.625,31.28,29.5,36.0,42.8,0.0
NE,MIA,21.0,11.0,1,1.0,0.0,19.125,26.25,19.6875,21.125,29.55,32.42,34.3,38.3,1.0
WAS,PHI,27.0,17.0,1,1.0,0.0,24.0625,16.625,22.125,15.5,33.06,27.12,45.4,29.1,1.0
CIN,LAC,13.0,16.0,1,0.0,1.0,21.0625,17.4375,21.8125,19.5,31.47,30.37,44.3,36.0,0.0
NO,TB,34.0,23.0,1,1.0,0.0,28.625,28.625,22.0625,21.6875,31.55,32.19,41.5,42.2,1.0
SF,ARI,20.0,24.0,1,0.0,1.0,22.5625,29.9375,19.625,21.0,28.41,32.37,36.0,45.0,0.0
LAR,DAL,20.0,17.0,1,1.0,0.0,27.125,24.625,23.6875,21.375,30.32,29.01,47.1,39.9,1.0
NYG,PIT,16.0,26.0,1,0.0,1.0,18.0625,21.3125,16.5625,19.4375,29.51,29.43,34.4,37.3,0.0
DEN,TEN,14.0,16.0,1,0.0,1.0,25.125,17.625,19.8125,17.4375,29.31,29.21,37.8,31.7,0.0
CLE,CIN,35.0,30.0,2,1.0,0.0,13.0,6.0,19.0,20.0,29.5,30.2,42.9,25.0,1.0
CHI,NYG,17.0,13.0,2,1.0,0.0,16.0,27.0,20.0,26.0,28.16,29.5,53.3,18.2,1.0
DAL,ATL,40.0,39.0,2,1.0,0.0,25.0,17.0,28.0,24.0,29.24,24.22,50.0,25.0,1.0
GB,DET,42.0,21.0,2,1.0,0.0,23.0,43.0,25.0,31.0,30.55,41.16,37.5,54.5,1.0
IND,MIN,28.0,11.0,2,1.0,0.0,34.0,20.0,25.0,27.0,18.44,33.23,50.0,33.3,1.0
MIA,BUF,28.0,31.0,2,0.0,1.0,27.0,11.0,31.0,20.0,41.17,25.11,50.0,36.4,0.0
NYJ,SF,13.0,31.0,2,0.0,1.0,20.0,17.0,18.0,15.0,28.34,18.43,18.2,36.4,1.0
PHI,LAR,19.0,37.0,2,0.0,1.0,20.0,17.0,23.0,19.0,35.38,30.39,52.9,35.7,0.0
PIT,DEN,26.0,21.0,2,1.0,0.0,14.0,26.0,19.0,19.0,27.2,31.44,33.3,53.3,1.0
TB,CAR,31.0,17.0,2,1.0,0.0,30.0,23.0,22.0,23.0,28.48,28.37,53.8,38.5,1.0
TEN,JAX,33.0,30.0,2,1.0,0.0,27.0,16.0,17.0,26.0,26.37,32.4,50.0,43.8,1.0
ARI,WAS,30.0,15.0,2,1.0,0.0,27.0,24.0,18.0,29.0,29.21,31.26,27.8,50.0,1.0
HOU,BAL,16.0,33.0,2,0.0,1.0,38.0,20.0,23.0,21.0,29.58,25.13,54.5,40.0,0.0
LAC,KC,20.0,23.0,2,0.0,1.0,34.0,16.0,28.0,19.0,34.47,30.1,53.8,37.5,0.0
SEA,NE,35.0,30.0,2,1.0,0.0,21.0,38.0,29.0,22.0,34.49,30.36,50.0,33.3,1.0
LV,NO,34.0,24.0,2,1.0,0.0,34.0,34.0,18.0,23.0,31.23,31.12,33.3,54.5,1.0
JAX,MIA,13.0,31.0,3,0.0,1.0,19.5,28.5,24.0,23.5,28.305,29.795,39.05,60.7,0.0
ATL,CHI,26.0,30.0,3,0.0,1.0,22.0,32.0,22.0,25.0,31.895,31.36,37.2,48.55,0.0
BUF,LAR,35.0,32.0,3,1.0,0.0,28.5,29.0,26.5,27.0,33.255,34.86,55.6,50.0,1.0
CLE,WAS,34.0,20.0,3,1.0,0.0,21.0,20.5,18.5,21.5,27.68,28.205,30.55,43.75,1.0
MIN,TEN,30.0,31.0,3,0.0,1.0,24.5,22.5,24.5,18.5,29.39,19.895,53.7,36.1,0.0
NE,LV,36.0,20.0,3,1.0,0.0,34.0,25.5,25.5,29.0,33.65,31.45,56.65,54.15,1.0
NYG,SF,9.0,36.0,3,0.0,1.0,25.5,14.5,17.5,21.0,30.235,26.735,36.0,38.2,0.0
PHI,CIN,23.0,23.0,3,0.0,0.0,21.5,18.0,24.5,22.0,31.445,29.43,43.65,47.0,0.0
PIT,HOU,28.0,21.0,3,1.0,0.0,18.0,26.0,19.5,19.0,25.515,30.365,36.65,35.0,1.0
IND,NYJ,36.0,7.0,3,1.0,0.0,15.0,24.0,16.0,25.5,22.95,35.74,36.05,30.3,1.0
LAC,CAR,16.0,21.0,3,0.0,1.0,23.5,18.0,23.0,23.5,31.4,34.685,54.15,41.85,0.0
ARI,DET,23.0,26.0,3,0.0,1.0,22.0,27.0,22.0,25.5,27.845,32.355,43.75,45.6,1.0
DEN,TB,10.0,28.0,3,0.0,1.0,27.0,17.5,21.5,21.0,26.825,28.755,42.0,33.3,0.0
SEA,DAL,38.0,31.0,3,1.0,0.0,28.5,36.5,28.5,22.0,25.17,30.775,39.4,38.1,1.0
NO,GB,30.0,37.0,3,0.0,1.0,42.5,29.0,28.5,22.0,37.81,27.325,52.25,48.45,0.0
BAL,KC,20.0,34.0,3,0.0,1.0,28.5,35.5,25.5,23.0,31.425,32.045,50.25,45.1,1.0
NYJ,DEN,28.0,37.0,4,0.0,1.0,15.0,12.3333333333,18.3333333333,15.6666666667,28.03,25.14,34.1,32.3666666667,0.0
CAR,ARI,31.0,21.0,4,1.0,0.0,25.6666666667,22.6666666667,26.3333333333,20.0,30.6033333333,30.43,43.7333333333,44.4333333333,1.0
CIN,JAX,33.0,25.0,4,1.0,0.0,23.3333333333,22.0,23.0,24.3333333333,28.3233333333,31.6833333333,50.4666666667,36.8,1.0
DAL,CLE,38.0,49.0,4,0.0,1.0,25.0,29.3333333333,20.6666666667,28.0,29.9266666667,25.8666666667,41.0666666667,41.8333333333,0.0
