HomeTeam,AwayTeam,Week,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns
PHI,ATL,1,22.0625,28.5625,20.625,21.125,30.5,33.41,44.7,41.7
BAL,BUF,1,18.875,24.6875,17.375,19.4375,28.2,31.53,41.9,34.1
CLE,PIT,1,25.375,14.625,21.75,18.125,32.59,28.12,44.0,33.8
IND,CIN,1,18.125,16.4375,16.6875,16.6875,27.18,30.41,33.7,38.2
MIA,TEN,1,20.875,17.5625,18.125,17.75,30.06,29.25,35.1,31.7
MIN,SF,1,20.6875,23.875,20.0625,20.875,29.16,32.26,38.9,43.5
NE,HOU,1,21.125,28.625,19.5625,24.3125,30.06,31.37,36.4,40.6
NO,TB,1,20.9375,28.0,22.0,20.75,30.43,31.09,43.4,37.6
NYG,JAX,1,26.0625,15.375,20.75,16.9375,32.19,29.42,37.4,32.6
LAC,KC,1,25.9375,22.1875,20.125,21.0625,31.55,30.21,39.2,40.2
ARI,WAS,1,21.375,18.4375,17.375,19.375,30.45,31.1,32.4,35.2
CAR,DAL,1,22.125,22.6875,19.625,20.0,30.12,32.17,42.9,41.9
DEN,SEA,1,22.875,18.0625,18.6875,18.5625,29.19,31.28,37.3,39.0
GB,CHI,1,16.5,20.0,16.6875,19.1875,29.58,29.09,34.6,39.3
DET,NYJ,1,18.625,25.625,16.8125,18.5,30.13,30.48,35.5,38.8
LV,LAR,1,29.875,18.8125,19.4375,17.9375,30.06,29.53,41.1,40.2
CIN,BAL,2,47.0,34.0,26.0,19.0,35.14,27.12,42.9,50.0
ATL,CAR,2,16.0,12.0,20.0,16.0,30.36,27.5,33.3,26.7
BUF,LAC,2,28.0,3.0,33.0,10.0,34.26,24.46,27.3,13.3
GB,MIN,2,24.0,24.0,19.0,16.0,31.9,26.38,41.2,38.5
NO,CLE,2,21.0,40.0,22.0,26.0,34.48,27.51,27.8,44.4
NYJ,MIA,2,27.0,48.0,18.0,18.0,30.25,33.7,20.0,42.9
PIT,KC,2,38.0,21.0,19.0,25.0,25.34,35.12,40.0,46.7
TB,PHI,2,18.0,48.0,18.0,26.0,32.1,32.9,50.0,61.5
TEN,HOU,2,20.0,20.0,21.0,19.0,28.5,29.35,18.2,42.9
WAS,IND,2,23.0,24.0,24.0,30.0,32.48,38.8,64.7,46.2
LAR,ARI,2,6.0,33.0,14.0,23.0,21.52,28.29,12.5,36.4
SF,DET,2,17.0,16.0,20.0,20.0,26.53,28.51,23.1,38.5
DEN,LV,2,13.0,27.0,20.0,25.0,31.31,35.8,45.5,33.3
JAX,NE,2,27.0,20.0,23.0,17.0,31.1,29.31,28.6,30.8
DAL,NYG,2,15.0,8.0,15.0,17.0,30.29,29.24,30.8,18.2
CHI,SEA,2,24.0,23.0,13.0,18.0,24.52,33.22,16.7,41.2
CLE,NYJ,3,30.0,19.5,19.5,19.0,32.52500000000001,30.835,36.45,30.55
ATL,NO,3,30.5,21.5,22.0,19.5,29.96,28.46,34.7,40.6
BAL,DEN,3,23.5,35.0,22.5,27.0,31.6,31.62,41.65,43.35
CAR,CIN,3,34.0,20.0,21.5,23.5,29.31,30.27,44.25,39.4
HOU,NYG,3,14.0,18.5,16.0,21.0,31.205,28.94,38.95,31.85
JAX,TEN,3,20.0,25.5,17.0,22.0,29.785,29.885,38.1,51.1
KC,SF,3,23.0,40.0,21.5,21.5,28.925,26.415,32.9,40.0
MIA,LV,3,16.0,23.5,20.5,18.0,31.935,29.25,37.75,33.1
MIN,BUF,3,11.5,26.5,13.5,21.5,25.52,31.71,24.5,45.6
PHI,IND,3,22.0,19.5,20.5,21.0,29.44,33.745000000000005,60.45,41.65
WAS,GB,3,26.5,16.5,20.0,25.0,32.59,36.0,34.65,39.75
LAR,LAC,3,29.5,33.5,27.0,23.5,33.730000000000004,31.545,30.3,44.85
ARI,CHI,3,23.5,3.0,19.0,9.5,33.730000000000004,23.52,41.45,18.75
SEA,DAL,3,14.0,20.5,16.5,15.0,28.36,24.94,24.1,27.6
DET,NE,3,23.5,22.0,20.5,22.5,30.12,28.395000000000003,30.95,33.45
TB,PIT,3,29.0,37.5,29.0,22.0,33.614999999999995,28.555,37.0,50.75
LAR,MIN,4,19.666666666666668,34.0,21.33333333333333,26.66666666666667,29.19,32.416666666666664,42.3,54.13333333333333
ATL,CIN,4,29.66666666666667,26.66666666666667,22.66666666666667,21.0,28.37333333333333,28.70666666666667,42.833333333333336,39.2
CHI,TB,4,34.0,21.0,24.0,19.666666666666668,28.83333333333333,34.55666666666667,44.93333333333334,39.533333333333346
