HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns,PredictHomeTeamWin
CIN,HOU,9,13,2,0,1,7.0,0.0,23.0,14.0,29.55,26.0,41.7,30.8,0.0
BAL,CLE,24,10,2,1,0,18.0,20.0,20.0,17.0,31.1,34.0,25.0,42.9,1.0
CAR,BUF,9,3,2,1,0,21.0,23.0,23.0,20.0,33.4,34.21,47.1,53.8,1.0
IND,ARI,13,16,2,0,1,23.0,9.0,24.0,10.0,26.4,25.35,40.0,0.0,0.0
JAX,TEN,16,37,2,0,1,16.0,29.0,21.0,19.0,28.21,30.5,50.0,25.0,0.0
KC,PHI,27,20,2,1,0,30.0,42.0,19.0,26.0,34.16,30.14,57.1,36.4,1.0
NO,NE,20,36,2,0,1,27.0,19.0,25.0,19.0,29.46,28.44,33.3,36.4,0.0
PIT,MIN,26,9,2,1,0,29.0,21.0,23.0,16.0,31.16,28.5,64.3,38.5,1.0
TB,CHI,29,7,2,1,0,17.0,0.0,20.0,0.0,29.26,0.0,38.5,0.0,1.0
LAC,MIA,17,19,2,0,1,0.0,21.0,0.0,17.0,0.0,25.47,0.0,25.0,0.0
LV,NYJ,45,20,2,1,0,12.0,26.0,11.0,22.0,26.56,31.39,28.6,41.7,1.0
DEN,DAL,42,17,2,1,0,19.0,24.0,22.0,22.0,34.14,34.13,53.3,53.3,1.0
LAR,WAS,20,27,2,0,1,17.0,46.0,16.0,19.0,25.44,34.25,27.3,35.7,0.0
SEA,SF,12,9,2,1,0,3.0,9.0,13.0,12.0,25.39,20.47,18.2,25.0,1.0
ATL,GB,34,23,2,1,0,17.0,23.0,26.0,18.0,39.13,30.34,56.2,45.5,1.0
NYG,DET,10,24,2,0,1,35.0,3.0,19.0,13.0,33.2,25.46,50.0,33.3,0.0
SF,LAR,39,41,3,0,1,33.0,6.0,16.5,12.0,28.83,24.295,38.7,17.45,0.0
JAX,BAL,44,7,3,1,0,22.0,22.5,20.5,19.5,33.620000000000005,29.82,39.65,35.6,1.0
BUF,DEN,26,16,3,1,0,33.0,12.0,24.0,16.5,33.815,27.55,56.65,38.95,1.0
CAR,NO,13,34,3,0,1,19.5,16.0,19.5,19.5,26.49,36.37000000000001,34.849999999999994,48.8,0.0
CHI,PIT,23,17,3,1,0,23.5,12.0,19.0,19.5,31.36,27.875,30.8,44.25,1.0
DET,ATL,26,30,3,0,1,28.5,29.5,18.5,15.5,29.355,32.835,45.5,48.35,0.0
IND,CLE,31,28,3,1,0,14.0,11.0,20.0,14.0,28.73,29.625,20.85,22.2,1.0
MIN,TB,34,17,3,1,0,29.0,19.0,22.0,18.5,33.11,28.27,53.3,48.8,0.0
NE,HOU,36,33,3,1,0,10.0,31.5,18.5,27.0,30.85,32.53,34.2,41.65,1.0
NYJ,MIA,20,6,3,1,0,19.0,16.0,21.0,14.0,33.22,27.57,38.5,43.45,1.0
PHI,NYG,27,24,3,1,0,6.5,25.0,13.5,23.0,26.295,32.325,33.3,55.2,1.0
TEN,SEA,33,27,3,1,0,10.5,26.5,16.5,21.0,28.525,29.335,33.55,48.1,1.0
GB,CIN,27,24,3,1,0,4.5,20.0,13.0,25.0,26.725,35.18,28.75,48.95,1.0
LAC,KC,10,24,3,0,1,34.5,19.0,21.0,20.5,29.625,25.925,39.05,25.0,0.0
WAS,LV,27,10,3,1,0,35.5,22.0,21.5,18.5,31.295,30.815,54.2,32.9,1.0
ARI,DAL,17,28,3,0,1,18.0,19.5,19.0,20.5,30.12,27.445,37.35,40.0,1.0
GB,CHI,35,14,4,1,0,15.666666666666664,22.33333333333333,19.0,24.0,29.78,33.19,40.6,48.20000000000001,1.0
MIA,NO,0,20,4,0,1,24.33333333333333,12.5,20.0,18.5,28.29333333333333,28.37,39.9,23.4,0.0
ATL,BUF,17,23,4,0,1,16.666666666666668,29.0,16.333333333333332,21.0,28.45333333333333,30.35333333333333,38.46666666666667,45.13333333333333,0.0
BAL,PIT,9,26,4,0,1,21.33333333333333,17.0,19.0,17.666666666666668,30.02,30.93666666666667,32.666666666666664,35.53333333333333,0.0
CLE,CIN,7,31,4,0,1,11.0,18.666666666666668,15.666666666666664,21.66666666666667,29.20666666666667,27.93,30.266666666666666,26.73333333333333,0.0
DAL,LAR,30,35,4,0,1,35.666666666666664,21.33333333333333,19.666666666666668,17.666666666666668,29.03,27.896666666666665,48.03333333333334,32.3,0.0
HOU,TEN,57,14,4,1,0,28.66666666666667,17.666666666666668,21.0,20.0,30.36,31.69333333333334,41.6,37.1,0.0
MIN,DET,7,14,4,0,1,28.33333333333333,24.0,17.333333333333332,20.666666666666668,30.97333333333333,31.33333333333333,39.933333333333344,50.46666666666666,0.0
NE,CAR,30,33,4,0,1,15.0,33.0,19.0,25.0,33.75000000000001,30.426666666666666,49.2,43.16666666666666,0.0
NYJ,JAX,23,20,4,1,0,29.66666666666667,17.333333333333332,21.0,14.666666666666664,31.31333333333333,30.646666666666665,32.06666666666667,39.23333333333333,1.0
ARI,SF,18,15,4,1,0,17.0,18.666666666666668,16.333333333333332,21.0,26.25333333333333,30.346666666666664,28.3,41.46666666666667,1.0
LAC,PHI,24,26,4,0,1,25.66666666666667,16.0,23.33333333333333,21.66666666666667,33.99,27.06333333333333,48.70000000000001,29.5,0.0
TB,NYG,25,23,4,1,0,12.333333333333336,23.0,16.0,21.0,24.95666666666667,27.625,32.2,35.0,1.0
DEN,LV,16,10,4,1,0,27.0,27.33333333333333,16.666666666666668,23.0,28.04333333333333,32.32333333333333,36.13333333333333,52.06666666666666,1.0
SEA,IND,46,18,4,1,0,17.666666666666668,16.0,14.666666666666664,19.0,30.840000000000003,28.08,30.5,31.899999999999995,1.0
KC,WAS,29,20,4,1,0,23.66666666666667,31.0,18.33333333333333,19.33333333333333,33.41,29.83666666666667,37.5,37.13333333333333,0.0
TB,NE,14,19,5,0,1,32.25,23.66666666666667,24.75,20.666666666666668,30.745,26.906666666666666,44.875,32.43333333333333,0.0
CIN,BUF,20,16,5,1,0,18.25,16.0,16.0,18.0,28.4525,30.705,40.40000000000001,36.325,1.0
CLE,NYJ,14,17,5,0,1,18.75,15.75,15.5,20.25,31.545,27.0925,38.25,27.85,0.0
DET,CAR,24,27,5,0,1,19.5,24.75,21.25,17.75,32.44500000000001,32.2975,53.575,35.725,0.0
IND,SF,26,23,5,1,0,16.5,17.75,17.25,15.0,27.972500000000004,30.000000000000004,27.8,33.6,1.0
MIA,TEN,16,10,5,1,0,25.0,8.333333333333334,18.0,16.0,27.8175,27.35333333333333,37.45,19.766666666666666,1.0
NYG,LAC,22,27,5,0,1,18.0,15.0,20.75,18.0,25.4025,27.25,34.625,35.925,0.0
PHI,ARI,34,7,5,1,0,18.5,25.75,22.0,24.0,31.7975,35.2875,38.9,50.575,1.0
PIT,JAX,9,30,5,0,1,27.25,22.5,20.75,19.75,32.435,31.3375,30.725,36.175,0.0
LAR,SEA,10,16,5,0,1,23.5,35.5,19.75,20.75,29.09,29.3525,40.6,45.65000000000001,0.0
LV,BAL,17,30,5,0,1,15.0,22.75,17.75,15.25,29.28,27.8575,36.275,31.275,0.0
DAL,GB,31,35,5,0,1,25.5,23.5,22.25,18.75,32.1175,28.2425,48.65000000000001,36.725,0.0
HOU,KC,34,42,5,0,1,30.5,27.5,21.75,23.25,31.8525,33.6225,43.225,40.325,0.0
CHI,MIN,17,20,5,0,1,19.75,15.25,19.25,19.25,29.3325,30.2125,45.35,40.875,0.0
CAR,PHI,23,28,6,0,1,27.4,21.0,23.0,20.2,35.324,33.001999999999995,53.32000000000001,51.62000000000001,0.0
ATL,MIA,17,20,6,0,1,10.25,20.8,15.0,17.6,27.8775,24.442,23.15,34.78,0.0
BAL,CHI,24,27,6,0,1,15.6,18.0,18.6,18.0,29.842,30.11000000000001,37.7,39.02,0.0
HOU,CLE,33,17,6,1,0,15.4,28.8,20.6,22.6,28.526,31.184000000000005,30.86000000000001,38.26000000000001,1.0
MIN,GB,23,10,6,1,0,27.4,19.8,22.8,18.8,30.601999999999997,29.714,47.50000000000001,44.28,1.0
NO,DET,52,38,6,1,0,24.6,18.6,18.0,16.4,30.712,23.832,36.28,33.17999999999999,1.0
NYJ,NE,17,24,6,0,1,29.6,18.4,24.4,15.2,30.696000000000005,30.304000000000002,42.56,37.26000000000001,0.0
WAS,SF,26,24,6,1,0,17.8,18.2,18.4,14.0,28.678000000000004,24.548,27.96,29.78,1.0
ARI,TB,38,33,6,1,0,21.25,16.2,22.0,20.8,27.455,30.264,32.025,36.84,1.0
JAX,LAR,17,27,6,0,1,30.4,27.8,20.8,19.6,29.17,31.652000000000005,47.18000000000001,34.58,0.0
KC,PIT,13,19,6,0,1,19.8,32.8,20.0,23.2,31.43,33.116,38.28,45.81999999999999,1.0
LV,LAC,16,17,6,0,1,19.8,21.6,20.8,15.2,26.612,27.52,36.58,35.02,0.0
DEN,NYG,10,23,6,0,1,16.4,19.6,18.0,17.0,27.43,25.908,35.4,37.48,0.0
